titulo,enlace,fecha,descripcion,categoria,fuente,imagen,contenido
Rumbo al Perú: se encendió la llama de los Juegos Bolivarianos Ayacucho–Lima 2025,https://rpp.pe/multideportes/mas-deportes/juegos-bolivarianos-ayacucholima-2025-se-encendio-la-llama-bolivariana-en-caracas-venezuela-noticia-1663048,"Sat, 08 Nov 2025 18:17:18 -0500",La vigésima edición de los Juegos Bolivarianos comenzará el 22 de noviembre y se llevará a cabo en Ayacucho y Lima.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/575657_1810484.jpg?imgdimension=look,La vigésima edición de los Juegos Bolivarianos comenzará el 22 de noviembre y se llevará a cabo en Ayacucho y Lima.
Universitario vs. Panta Walon EN VIVO vía DyJ Sports: se enfrentan por la gran final del Futsal Pro 2025,https://rpp.pe/futbol/mas-futbol/universitario-vs-panta-walon-en-vivo-a-que-hora-juegan-y-donde-ver-final-liga-futsal-pro-2025-via-youtube-dyj-sports-link-gratis-partidos-de-hoy-noticia-1662902,"Sat, 08 Nov 2025 18:15:45 -0500",Universitario vs Panta Walon EN VIVO: sigue la transmisión del encuentro por la gran final del Futsal Pro 2025.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/07/221322_1810074.jpg?imgdimension=look,Universitario vs Panta Walon EN VIVO: sigue la transmisión del encuentro por la gran final del Futsal Pro 2025.
Tabla de posiciones Liga Peruana de Vóley Betsson 2025-26 EN VIVO: así van las posiciones durante la fecha 3,https://rpp.pe/voley/mas-voley/tabla-liga-peruana-de-voley-2025-en-vivo-resultados-en-directo-y-posiciones-de-fase-1-alianza-lima-universitario-regatas-voley-en-vivo-noticia-1661061,"Sat, 08 Nov 2025 18:10:22 -0500",Sigue los resultados y la tabla de posiciones en el comienzo de la Liga Peruana de Vóley Betsson 2025-26.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/10/26/150515_1805606.jpg?imgdimension=look,Sigue los resultados y la tabla de posiciones en el comienzo de la Liga Peruana de Vóley Betsson 2025-26.
Programación de la fecha 3 de la Liga Peruana de Vóley 2025-2026: todas las fechas y horarios de los partidos,https://rpp.pe/voley/mas-voley/liga-peruana-de-voley-2025-2026-programacion-de-la-fecha-3-fixture-fecha-y-horario-de-los-partidos-alianza-lima-universitario-san-martin-regatas-lpv-noticia-1662090,"Sat, 08 Nov 2025 16:00:07 -0500",Conoce las fechas y horarios de los partidos de la jornada 3 de la primera etapa de la Liga Peruana de Vóley.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/02/280728_1808110.jpg?imgdimension=look,Conoce las fechas y horarios de los partidos de la jornada 3 de la primera etapa de la Liga Peruana de Vóley.
Cúal fue el último temblor en México hoy 8 de noviembre según SSN,https://rpp.pe/mundo/mexico/cual-fue-el-ultimo-temblor-en-mexico-hoy-6-de-noviembre-segun-ssn-live-3034,"Thu, 06 Nov 2025 06:27:35 -0500",Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 8 de noviembre del 2025. Consulta los últimos sismos EN VIVO para México aquí.,Sin categoría,RPP,https://f.rpp-noticias.io/2024/11/07/111411_1666676.jpg?imgdimension=look,Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 8 de noviembre del 2025. Consulta los últimos sismos EN VIVO para México aquí.
"Temblor en Perú, hoy 8 de noviembre: magnitud y epicentro del sismo según IGP",https://rpp.pe/lima/desastres-naturales/temblor-en-peru-hoy-6-de-noviembre-magnitud-y-epicentro-del-sismo-segun-igp-live-3033,"Thu, 06 Nov 2025 02:03:58 -0500","Actualización EN VIVO del último sismo en Perú hoy, sábado 8 de noviembre según las últimas actualizaciones del Instituto Geofísico del Perú IGP",Sin categoría,RPP,https://f.rpp-noticias.io/2024/11/04/372237_1665153.jpg?imgdimension=look,"Actualización EN VIVO del último sismo en Perú hoy, sábado 8 de noviembre según las últimas actualizaciones del Instituto Geofísico del Perú IGP"
Tabla de posiciones de Liga 1 Te Apuesto 2025 EN VIVO: así está el Acumulado y el Clausura en la fecha 18,https://rpp.pe/futbol/descentralizado/tabla-acumulada-liga-1-y-torneo-clausura-2025-en-vivo-resultados-y-posiciones-tras-partidos-de-hoy-universitario-alianza-lima-sporting-cristal-noticia-1647030,"Sat, 08 Nov 2025 17:50:26 -0500","Sigue el movimiento de las posiciones y cómo va la Tabla Acumulada de la Liga1 Te Apuesto 2025. Se definen los playoffs, los cupos internacionales y el descenso.",Sin categoría,RPP,https://f.rpp-noticias.io/2025/07/18/503150_1771847.jpg?imgdimension=look,"Sigue el movimiento de las posiciones y cómo va la Tabla Acumulada de la Liga1 Te Apuesto 2025. Se definen los playoffs, los cupos internacionales y el descenso."
Chorrillos: familia se reencuentra con abuelito de 87 años que estuvo desaparecido,https://rpp.pe/rotafono/servicios-a-la-comunidad/chorrillos-familia-se-reencuentra-con-abuelito-de-87-anos-que-estuvo-desaparecido-noticia-1663051,"Sat, 08 Nov 2025 17:48:46 -0500",Rotafono de RPP | Víctor Castillo Manrique fue hallado por policías de Lurín después de que estuviera perdido por un día.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/044304_1810478.jpg?imgdimension=look,Rotafono de RPP | Víctor Castillo Manrique fue hallado por policías de Lurín después de que estuviera perdido por un día.
¡Cerca de la salvación! Juan Pablo II venció 3-1 a Atlético Grau por la penúltima fecha del Clausura (VIDEO),https://rpp.pe/futbol/descentralizado/juan-pablo-ii-vs-atletico-grau-en-vivo-a-que-hora-juegan-y-en-que-canal-ver-fecha-18-torneo-clausura-2025-via-l1max-partidos-de-hoy-noticia-1662936,"Sat, 08 Nov 2025 17:35:18 -0500","Con un doblete de Christian Tizón, Juan Pablo II sigue dependiendo de sí mismo para evitar el descenso a la Liga2. Además, Alianza Universidad ya perdió la categoría.",Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/583158_1810469.jpg?imgdimension=look,"Con un doblete de Christian Tizón, Juan Pablo II sigue dependiendo de sí mismo para evitar el descenso a la Liga2. Además, Alianza Universidad ya perdió la categoría."
San Juan de Miraflores: obrero desaparece cuando se dirigía a su trabajo,https://rpp.pe/rotafono/servicios-a-la-comunidad/san-juan-de-miraflores-obrero-desaparece-cuando-se-dirigia-a-su-trabajo-noticia-1663035,"Sat, 08 Nov 2025 14:08:23 -0500","Rotafono de RPP | ¿Lo has visto? La familia de Ruperto Rivera Ramírez, de 61 años, busca ayuda para localizarlo.",Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/070407_1810425.jpg?imgdimension=look,"Rotafono de RPP | ¿Lo has visto? La familia de Ruperto Rivera Ramírez, de 61 años, busca ayuda para localizarlo."
Liga 1: Doblete de Cristhian Tizón guió el triunfo 3-1 de Juan Pablo II sobre Grau,https://rpp.pe/futbol/descentralizado/liga-1-juan-pablo-ii-y-grau-se-encuentran-en-la-fecha-18-noticia-1662843,"Sat, 08 Nov 2025 17:37:56 -0500",Juan Pablo II vs Grau se enfrentaron por la Perú - Primera División. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/1810476.jpg?imgdimension=look,Juan Pablo II vs Grau se enfrentaron por la Perú - Primera División. Aquí todos los detalles y resumen del encuentro.
Liga de Francia: Wesley Said impulsó la victoria 4-1 de Lens frente a Mónaco con dos goles,https://rpp.pe/futbol/ligas-internacionales/liga-de-francia-lens-busca-derrotar-a-monaco-para-posicionarse-en-la-cima-del-torneo-noticia-1662839,"Sat, 08 Nov 2025 17:17:53 -0500",Mónaco vs Lens se enfrentaron por la Francia - Primera División. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/1810467.jpg?imgdimension=look,Mónaco vs Lens se enfrentaron por la Francia - Primera División. Aquí todos los detalles y resumen del encuentro.
Temblor en Chile hoy 8 de noviembre: Epicentro del sismo según CSN,https://rpp.pe/mundo/chile/temblor-en-chile-hoy-8-de-noviembre-epicentro-del-sismo-segun-csn-live-3035,"Sat, 08 Nov 2025 02:09:45 -0500",¿Cuál fue el último Temblor en Chile hoy 8 de noviembre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.,Sin categoría,RPP,https://f.rpp-noticias.io/2024/11/07/363236_1666477.jpg?imgdimension=look,¿Cuál fue el último Temblor en Chile hoy 8 de noviembre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.
